Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,3.0,3.0,2.0,1.0,8.5,0.0,1.0,0.0,3.0,10.0,10.0,2.0,10.0,0.0,3.0,0.0,7.0,167.0,22.0,125.0,38.0,70.0,20.0,57.0,89.0,37.0,58.0,11.0,11.0,13.0,1.0,22.5,0.16,29.0,29.0,32.0,22.0,1.0,3.9,13.0,1.0,4.5,12.0,1.0,5.8,40.0,0.0,0.9,3.0,0.0
File,AMReporter.java,12.0,0.0,11.0,1.0,2.0,2.0,2.0,1.0,1.2222222222222223,13.333333333333334,0.0,9.0,0.0,1.0,34.0,34.0,31.0,34.0,10.0,0.0,3.0,21.0,525.0,60.0,412.0,152.0,213.0,53.0,195.0,268.0,135.0,155.0,7.0,7.0,9.0,1.7777777777777777,17.22222222222222,0.13,65.0,65.0,68.0,36.0,0.0,4.166666666666667,14.0,0.0,4.2,20.0,1.0,2.2666666666666666,12.0,0.0,0.6666666666666666,4.0,1.0
File,ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,2.0,5.0,1.0,1.0,23.0,0.0,1.0,14.0,0.0,18.0,4.0,1.0,18.0,0.0,0.0,0.0,18.0,351.0,32.0,292.0,64.0,214.0,27.0,133.0,165.0,60.0,120.0,64.0,9.0,64.0,1.0,72.0,0.09,90.0,32.0,90.0,22.0,2.0,10.72222222222222,47.0,1.0,5.277777777777778,23.0,1.0,4.777777777777778,56.0,0.0,0.3333333333333333,2.0,1.0
File,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,4.0,4.0,1.0,1.0,16.142857142857142,0.0,7.0,2.0,2.0,38.0,36.0,24.0,38.0,11.0,9.0,2.0,16.0,870.0,99.0,673.0,242.0,412.0,98.0,354.0,524.0,249.0,345.0,21.0,21.0,23.0,1.2857142857142858,26.428571428571427,0.15,144.0,144.0,157.0,44.0,2.0,6.7727272727272725,28.0,2.0,9.409090909090908,56.0,1.0,362.77272727272725,7720.0,0.0,1.5454545454545454,5.0,0.0
File,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,49.0,8.0,21.0,18.0,6.0,20.0,12.0,18.0,13.0,5.0,1.0,1.0,1.0,3.0,0.0,0.95,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,2.0,8.5,0.5,1.0,0.0,1.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,349.0,52.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,11.0,15.0,1.5,77.5,0.24,58.0,58.0,71.0,32.0,0.0,10.212121212121213,143.0,1.0,4.606060606060606,23.0,1.0,4.151515151515151,37.0,0.0,0.8181818181818182,5.0,0.0
File,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,6.0,95.0,9.0,31.0,14.0,10.0,55.0,16.0,23.0,13.0,10.0,1.0,1.0,1.0,1.0,67.0,1.77,6.0,6.0,6.0,6.0,2.0,2.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
File,ATSHook.java,20.0,1.0,17.0,2.0,2.0,2.0,2.0,1.0,2.0,17.2,0.0,10.0,1.0,11.0,15.0,24.0,28.0,25.0,3.0,4.0,2.0,16.0,488.0,46.0,397.0,153.0,269.0,54.0,226.0,287.0,138.0,201.0,10.0,8.0,10.0,1.0,16.4,0.14,55.0,53.0,56.0,26.0,2.0,8.5,42.0,1.0,11.285714285714286,37.0,1.0,8.714285714285714,64.0,0.0,1.5,4.0,1.0
File,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,1.0,10.0,5.0,3.0,18.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,1.8,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File,AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,2.2,9.6,0.0,6.0,3.0,6.0,36.0,35.0,5.0,38.0,1.0,2.0,0.0,35.0,387.0,64.0,297.0,104.0,144.0,29.0,139.0,207.0,91.0,124.0,5.0,5.0,7.0,1.4,14.2,0.1,61.0,61.0,63.0,48.0,0.0,2.5,8.0,1.0,2.6875,9.0,1.0,1.875,7.0,0.0,0.5625,3.0,0.0
