Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
AbstractBucketJoinProc.java,38.0,3.0,32.0,3.0,7.0,7.0,7.0,3.0,2.0,40.0,40.0,2.0,1.0,2.0,0.0,11.0,0.0,12.0,10.0,1.0,12.0,12.0,0.0,4.0,3.0,5.0,44.0,515.0,52.0,395.0,155.0,236.0,69.0,118.0,4.5,193.0,282.0,137.0,205.0,5.0,26.0,26.0,29.0,1.0,6.0,73.0,73.0,0.17,75.0,75.0,82.0,38.0,0.0
AbstractSMBJoinProc.java,41.0,4.0,27.0,10.0,4.0,4.0,5.0,3.0,2.0,48.0,48.0,4.0,1.0,0.0,0.0,11.0,0.0,12.0,12.0,0.0,12.0,24.0,0.0,2.0,7.0,3.0,51.0,537.0,61.0,335.0,134.0,201.0,141.0,134.0,4.5,175.0,227.0,109.0,163.0,4.5,12.0,12.0,15.0,2.0,3.0,0.0,0.0,0.42,49.0,49.0,55.0,34.0,1.0
CalcitePlanner.java,40.0,4.0,30.0,7.0,5.0,5.0,6.0,1.0,10.0,283.0,283.0,0.0,11.0,5.0,3.0,72.0,0.0,68.0,67.0,23.0,72.0,401.0,14.0,45.0,0.0,13.0,537.0,3238.0,357.0,2348.0,877.0,1719.0,537.0,991.0,3.0,1345.0,1694.0,788.0,1287.0,3.0,23.0,23.0,34.0,3.0,6.0,0.0,0.0,0.23,363.0,352.0,437.0,89.0,1.0
CommonJoinTaskDispatcher.java,49.0,5.0,33.0,12.0,7.0,7.0,8.0,5.0,2.0,48.0,48.0,0.0,1.0,1.0,0.0,10.0,0.0,10.0,9.0,1.0,10.0,16.0,0.0,7.0,0.0,3.0,41.0,623.0,67.0,373.0,143.0,239.0,185.0,140.0,5.0,208.0,278.0,129.0,209.0,4.0,22.0,22.0,30.0,2.0,4.0,80.0,60.0,0.5,65.0,65.0,83.0,48.0,1.0
CompactIndexHandler.java,35.0,4.0,27.0,5.0,5.0,5.0,6.0,3.0,1.0,50.0,50.0,1.0,1.0,0.0,1.0,9.0,0.0,9.0,9.0,3.0,9.0,19.0,0.0,4.0,1.0,4.0,51.0,405.0,49.0,298.0,111.0,179.0,61.0,100.0,7.0,181.0,236.0,105.0,163.0,5.0,12.0,12.0,13.0,3.0,5.0,81.0,74.0,0.2,47.0,47.0,52.0,27.0,0.0
CompactionTxnHandler.java,42.0,1.0,34.0,7.0,5.0,5.0,5.0,2.0,3.0,63.0,63.0,0.0,2.0,2.0,2.0,20.0,0.0,20.0,18.0,3.0,20.0,89.0,1.0,2.0,0.0,17.0,252.0,893.0,33.0,703.0,139.0,577.0,159.0,492.0,4.0,419.0,516.0,135.0,420.0,4.0,15.0,15.0,15.0,2.0,5.0,0.0,0.0,0.23,102.0,99.0,104.0,35.0,0.0
ConstantPropagateProcFactory.java,35.0,1.0,28.0,6.0,7.0,7.0,9.0,4.0,19.0,213.0,213.0,0.0,10.0,23.0,3.0,35.0,0.0,35.0,12.0,0.0,35.0,35.0,0.0,15.0,0.0,20.0,144.0,1444.0,90.0,1111.0,360.0,716.0,243.0,356.0,3.0,549.0,807.0,337.0,603.0,3.0,71.0,71.0,88.0,1.0,5.0,0.0,0.0,0.22,253.0,251.0,299.0,146.0,1.0
ConvertJoinMapJoin.java,48.0,5.0,36.0,7.0,8.0,8.0,9.0,5.0,2.0,59.0,59.0,0.0,1.0,1.0,2.0,15.0,0.0,15.0,14.0,0.0,15.0,15.0,0.0,12.0,0.0,3.0,97.0,849.0,92.0,603.0,177.0,399.0,156.0,215.0,9.0,287.0,420.0,162.0,315.0,6.0,21.0,16.0,30.0,1.0,6.0,0.0,0.0,0.26,118.0,113.0,138.0,72.0,1.0
Copy.java,35.0,0.0,33.0,3.0,7.0,7.0,7.0,1.0,22.0,118.0,118.0,6.0,1.0,0.0,0.0,11.0,0.0,11.0,11.0,13.0,11.0,137.0,8.0,0.0,0.0,3.0,350.0,457.0,19.0,392.0,95.0,263.0,48.0,1404.0,1.0,208.0,287.0,103.0,218.0,1.0,18.0,18.0,19.0,3.0,5.0,0.0,0.0,0.12,74.0,74.0,76.0,13.0,0.0
DDLTask.java,40.0,3.0,30.0,7.0,6.0,6.0,7.0,2.0,4.0,236.0,236.0,0.0,4.0,8.0,9.0,103.0,0.0,101.0,95.0,5.0,103.0,172.0,7.0,85.0,0.0,11.0,669.0,4469.0,424.0,3340.0,887.0,2401.0,707.0,1592.0,4.0,1790.0,2420.0,859.0,1976.0,3.0,70.0,70.0,93.0,2.0,6.0,0.0,0.0,0.21,631.0,623.0,689.0,235.0,1.0
