Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountLine,CountLineBlank,CountLineComment,CountPath,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,Bugs
ASTBuilder.java,12.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,14.0,0.0,18.0,0.0,1.0,18.0,0.0,0.0,276.0,29.0,24.0,1.0,1.0,23.0,1.0,2.0,72.0,0.11,46.0,1.0
ASTErrorNode.java,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,49.0,8.0,20.0,1.0,1.0,1.0,3.0,0.0,0.0,0.95,5.0,0.0
ASTNode.java,10.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,26.0,0.0,7.0,0.0,8.0,0.0,350.0,53.0,57.0,1.0,1.0,11.0,2.0,4.0,77.5,0.24,58.0,1.0
ASTNodeOrigin.java,7.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,95.0,9.0,55.0,1.0,1.0,1.0,1.0,0.0,67.0,1.77,6.0,0.0
ATSHook.java,15.0,1.0,2.0,1.0,1.0,4.0,0.0,7.0,0.0,6.0,15.0,0.0,13.0,3.0,0.0,0.0,227.0,27.0,37.0,2.0,2.0,8.0,2.0,2.0,0.0,0.21,19.0,1.0
AbortDroneException.java,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,18.0,0.0,0.0,1.0,2.0,0.0,0.0,1.8,2.0,0.0
AbstractCommandHandler.java,7.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,110.0,18.0,25.0,1.0,1.0,5.0,1.0,2.0,73.0,0.37,13.0,0.0
AbstractCorrelationProcCtx.java,4.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,80.0,14.0,22.0,1.0,1.0,1.0,1.0,0.0,70.0,0.5,8.0,0.0
AbstractDeserializer.java,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,8.0,49.0,0.0,0.0,0.0,1.0,0.0,50.0,4.45,0.0,0.0
AbstractEncodingAwareSerDe.java,8.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,87.0,12.0,32.0,0.0,0.0,2.0,2.0,1.0,0.0,0.74,6.0,0.0
AbstractExpression.java,8.0,0.0,0.0,2.0,1.0,1.0,34.0,1.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,10.0,150.0,16.0,13.0,2.0,2.0,3.0,1.0,2.0,91.0,0.11,22.0,0.0
AbstractFileMergeOperator.java,20.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,10.0,0.0,16.0,0.0,2.0,4.0,279.0,21.0,63.0,3.5,3.0,8.0,2.0,5.0,76.0,0.32,30.0,1.0
AbstractGenericUDAFResolver.java,9.0,1.0,0.0,2.0,1.0,2.0,21.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,56.0,6.0,27.0,1.5,1.5,2.0,1.0,1.0,0.0,1.17,3.0,0.0
AbstractGenericUDFEWAHBitmapBop.java,15.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,3.0,146.0,19.0,21.0,3.0,2.5,4.0,2.0,1.0,67.0,0.2,14.0,0.0
AbstractGenericUDFReflect.java,15.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,1.0,108.0,11.0,26.0,2.0,2.0,6.0,2.0,3.0,50.0,0.37,13.0,0.0
AbstractHBaseKeyFactory.java,5.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,53.0,8.0,17.0,1.0,1.0,1.0,1.0,0.0,67.0,0.61,3.0,0.0
AbstractHBaseKeyPredicateDecomposer.java,16.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,80.0,10.0,32.0,1.0,1.0,3.0,1.0,2.0,0.0,0.84,4.0,0.0
AbstractHiveAuthorizer.java,8.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,4.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,4.29,1.0,0.0
AbstractHiveService.java,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,17.0,0.0,6.0,0.0,0.0,3.0,159.0,22.0,59.0,1.0,1.0,2.0,1.0,1.0,81.0,0.76,20.0,0.0
AbstractIndexHandler.java,6.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,58.0,7.0,23.0,1.0,1.0,3.0,1.0,2.0,0.0,0.82,5.0,0.0
AbstractJoinTaskDispatcher.java,26.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,186.0,14.0,43.0,9.0,6.0,7.0,1.0,5.0,20.0,0.33,25.0,0.0
AbstractMapJoinOperator.java,9.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,7.0,0.0,5.0,0.0,0.0,3.0,120.0,20.0,26.0,1.5,1.5,3.0,3.0,1.0,80.0,0.35,10.0,1.0
AbstractMapJoinTableContainer.java,4.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,51.0,8.0,18.0,1.0,1.0,1.0,1.0,0.0,25.0,0.72,4.0,0.0
AbstractOperatorDesc.java,4.0,0.0,0.0,1.0,1.0,2.0,30.0,1.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,87.0,17.0,17.0,1.0,1.0,1.0,1.0,0.0,82.0,0.32,11.0,1.0
AbstractOutputFormat.java,12.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,50.0,8.0,25.0,0.0,0.0,2.0,1.0,1.0,0.0,1.47,2.0,0.0
AbstractParquetMapInspector.java,10.0,1.0,0.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,173.0,26.0,13.0,1.0,1.0,10.0,2.0,2.0,0.0,0.1,33.0,0.0
AbstractPrimitiveJavaObjectInspector.java,4.0,0.0,0.0,1.0,1.0,1.0,19.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,49.0,6.0,20.0,1.0,1.0,1.0,2.0,0.0,0.0,0.87,5.0,0.0
AbstractPrimitiveLazyObjectInspector.java,4.0,0.0,0.0,1.0,1.0,1.0,17.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,48.0,6.0,20.0,1.0,1.5,2.0,2.0,0.0,0.0,0.91,5.0,0.0
AbstractPrimitiveObjectInspector.java,7.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,107.0,13.0,48.0,1.0,1.0,1.0,1.0,0.0,20.0,1.04,10.0,0.0
AbstractPrimitiveWritableObjectInspector.java,4.0,0.0,0.0,1.0,1.0,1.0,17.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,46.0,6.0,20.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0
AbstractRecordWriter.java,13.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,13.0,0.0,12.0,1.0,5.0,6.0,273.0,31.0,43.0,2.0,2.0,8.0,1.0,2.0,85.0,0.21,34.0,0.0
AbstractRowContainer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
AbstractSSHCommand.java,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,70.0,4.0,18.0,1.0,1.0,1.0,1.0,0.0,82.0,0.38,11.0,0.0
AbstractSSHResult.java,5.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,62.0,2.0,18.0,1.0,1.0,1.0,1.0,0.0,71.0,0.43,7.0,0.0
AbstractSemanticAnalyzerHook.java,4.0,0.0,0.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,6.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,1.21,2.0,0.0
AbstractSerDe.java,11.0,0.0,8.0,1.0,1.0,2.0,20.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,127.0,15.0,83.0,0.0,0.0,2.0,1.0,0.0,67.0,2.77,4.0,0.0
AbstractSerializer.java,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,8.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,3.75,0.0,0.0
AbstractService.java,9.0,0.0,4.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,12.0,0.0,5.0,0.0,2.0,0.0,184.0,22.0,86.0,1.0,1.0,2.0,1.0,1.0,78.0,1.13,14.0,0.0
