,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Bugs
0,AMReporter.java,11.0,0.0,11.0,0.0,2.0,9.0,0.0,1.0,32.0,32.0,32.0,29.0,32.0,8.0,0.0,3.0,21.0,476.0,56.0,380.0,146.0,197.0,40.0,186.0,250.0,129.0,143.0,8.0,4.0,0.11,58.0,0.0
1,ASTBuilder.java,12.0,0.0,11.0,0.0,3.0,1.0,14.0,0.0,18.0,18.0,4.0,1.0,18.0,18.0,0.0,0.0,0.0,276.0,29.0,223.0,60.0,154.0,24.0,123.0,149.0,56.0,108.0,23.0,2.0,0.11,46.0,1.0
2,ASTConverter.java,17.0,1.0,14.0,2.0,3.0,7.0,2.0,2.0,34.0,34.0,32.0,24.0,34.0,9.0,8.0,2.0,15.0,733.0,98.0,555.0,219.0,329.0,80.0,294.0,432.0,220.0,279.0,14.0,4.0,0.14,117.0,1.0
3,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,49.0,8.0,21.0,18.0,6.0,20.0,12.0,18.0,13.0,5.0,1.0,0.0,0.95,5.0,0.0
4,ASTNode.java,10.0,1.0,8.0,1.0,2.0,1.0,0.0,1.0,26.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,350.0,53.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,4.0,0.24,58.0,1.0
5,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,6.0,95.0,9.0,31.0,14.0,10.0,55.0,16.0,23.0,13.0,10.0,1.0,0.0,1.77,6.0,0.0
6,ATSHook.java,15.0,1.0,14.0,2.0,1.0,7.0,0.0,6.0,15.0,7.0,15.0,13.0,15.0,3.0,0.0,0.0,12.0,227.0,27.0,178.0,68.0,118.0,37.0,109.0,128.0,62.0,89.0,8.0,2.0,0.21,19.0,1.0
7,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,1.0,10.0,5.0,3.0,18.0,4.0,7.0,5.0,2.0,1.0,0.0,1.8,2.0,0.0
8,AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,6.0,3.0,6.0,38.0,36.0,35.0,5.0,38.0,1.0,2.0,0.0,35.0,387.0,64.0,297.0,104.0,144.0,29.0,139.0,207.0,91.0,124.0,5.0,3.0,0.1,61.0,0.0
9,AbstractBucketJoinProc.java,38.0,3.0,32.0,3.0,7.0,1.0,2.0,0.0,11.0,12.0,10.0,1.0,12.0,0.0,4.0,3.0,5.0,515.0,52.0,395.0,155.0,236.0,69.0,193.0,282.0,137.0,205.0,26.0,6.0,0.17,75.0,0.0
10,AbstractCommandHandler.java,7.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,8.0,8.0,8.0,6.0,8.0,0.0,0.0,0.0,8.0,110.0,18.0,67.0,30.0,26.0,25.0,31.0,46.0,24.0,24.0,5.0,2.0,0.37,13.0,0.0
11,AbstractCorrelationProcCtx.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,8.0,5.0,8.0,0.0,0.0,0.0,8.0,80.0,14.0,44.0,23.0,12.0,22.0,26.0,35.0,23.0,12.0,1.0,0.0,0.5,8.0,0.0
