,index,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Bugs
115,115,AppConfig.java,5.0,0.0,5.0,1.0,2.0,3.0,4.0,52.0,44.0,42.0,40.0,2.0,44.0,0.0,7.0,0.0,37.0,413.0,36.0,290.0,149.0,186.0,88.0,175.0,249.0,144.0,122.0,8.0,4.0,0.3,66.0,1.0
161,161,BaseSemanticAnalyzer.java,13.0,0.0,11.0,2.0,3.0,5.0,27.0,4.0,96.0,95.0,70.0,38.0,97.0,2.0,8.0,26.0,61.0,1473.0,145.0,1118.0,338.0,674.0,223.0,577.0,812.0,331.0,566.0,21.0,5.0,0.2,252.0,1.0
165,165,BeeLine.java,13.0,1.0,10.0,2.0,3.0,3.0,9.0,16.0,122.0,122.0,113.0,23.0,122.0,81.0,9.0,3.0,29.0,2181.0,318.0,1565.0,355.0,1035.0,326.0,651.0,966.0,365.0,713.0,12.0,8.0,0.21,324.0,0.0
177,179,BinarySortableSerDe.java,31.0,2.0,26.0,3.0,6.0,1.0,19.0,2.0,26.0,26.0,7.0,9.0,26.0,3.0,2.0,0.0,21.0,984.0,90.0,771.0,273.0,512.0,123.0,486.0,570.0,259.0,405.0,71.0,5.0,0.16,149.0,1.0
239,241,CalcitePlanner.java,41.0,4.0,30.0,7.0,5.0,11.0,5.0,3.0,72.0,68.0,67.0,23.0,72.0,14.0,45.0,0.0,13.0,3249.0,358.0,2357.0,882.0,1728.0,538.0,1352.0,1702.0,792.0,1296.0,23.0,6.0,0.23,364.0,1.0
289,291,Cleaner.java,33.0,2.0,27.0,5.0,6.0,2.0,0.0,2.0,6.0,6.0,6.0,3.0,6.0,0.0,4.0,0.0,2.0,263.0,20.0,195.0,63.0,122.0,48.0,99.0,145.0,71.0,97.0,17.0,7.0,0.25,36.0,1.0
292,294,CliDriver.java,27.0,2.0,22.0,3.0,4.0,11.0,4.0,5.0,32.0,32.0,28.0,5.0,32.0,2.0,7.0,1.0,22.0,880.0,99.0,665.0,193.0,441.0,119.0,351.0,489.0,205.0,344.0,19.0,7.0,0.18,129.0,1.0
302,304,Cmp.java,27.0,0.0,24.0,2.0,4.0,1.0,0.0,0.0,10.0,10.0,10.0,11.0,10.0,7.0,0.0,0.0,3.0,320.0,17.0,265.0,65.0,186.0,38.0,157.0,201.0,67.0,164.0,16.0,8.0,0.14,43.0,0.0
305,307,ColAndCol.java,26.0,0.0,24.0,2.0,6.0,1.0,0.0,1.0,11.0,11.0,11.0,3.0,11.0,0.0,0.0,0.0,11.0,329.0,19.0,278.0,46.0,200.0,37.0,162.0,227.0,66.0,161.0,54.0,4.0,0.13,64.0,0.0
306,308,ColOrCol.java,26.0,0.0,24.0,2.0,6.0,1.0,0.0,1.0,11.0,11.0,11.0,3.0,11.0,0.0,0.0,0.0,11.0,332.0,20.0,278.0,46.0,200.0,39.0,162.0,227.0,66.0,161.0,54.0,4.0,0.14,64.0,0.0
327,329,ColumnPrunerProcFactory.java,24.0,2.0,19.0,3.0,4.0,15.0,20.0,1.0,41.0,41.0,21.0,0.0,41.0,0.0,12.0,0.0,29.0,1182.0,124.0,870.0,375.0,548.0,189.0,481.0,675.0,353.0,490.0,18.0,4.0,0.22,150.0,1.0
332,334,ColumnStatisticsImpl.java,8.0,0.0,8.0,0.0,2.0,9.0,2.0,0.0,106.0,106.0,104.0,25.0,106.0,18.0,0.0,0.0,88.0,1097.0,123.0,954.0,288.0,528.0,20.0,393.0,630.0,201.0,463.0,15.0,3.0,0.02,245.0,1.0
369,371,Commands.java,20.0,1.0,17.0,1.0,4.0,4.0,0.0,2.0,79.0,79.0,79.0,1.0,79.0,3.0,17.0,0.0,59.0,1730.0,228.0,1392.0,257.0,992.0,115.0,600.0,878.0,269.0,706.0,21.0,6.0,0.08,292.0,1.0
373,375,CommonJoinOperator.java,16.0,1.0,13.0,1.0,3.0,1.0,1.0,3.0,36.0,36.0,35.0,36.0,36.0,0.0,15.0,10.0,11.0,829.0,112.0,548.0,172.0,344.0,185.0,327.0,438.0,172.0,295.0,20.0,7.0,0.34,106.0,1.0
384,386,CompactorTest.java,7.0,0.0,7.0,0.0,2.0,6.0,0.0,2.0,53.0,52.0,54.0,16.0,54.0,5.0,5.0,22.0,22.0,532.0,71.0,419.0,192.0,195.0,45.0,226.0,312.0,150.0,195.0,12.0,3.0,0.11,87.0,1.0
392,394,Complex.java,15.0,1.0,14.0,0.0,4.0,6.0,3.0,15.0,96.0,94.0,93.0,23.0,96.0,1.0,2.0,0.0,93.0,1706.0,169.0,1502.0,280.0,944.0,65.0,723.0,1059.0,281.0,852.0,32.0,6.0,0.04,364.0,0.0
424,427,ConstantPropagateProcCtx.java,14.0,1.0,12.0,2.0,3.0,2.0,0.0,1.0,11.0,9.0,11.0,5.0,11.0,0.0,1.0,0.0,10.0,226.0,24.0,155.0,55.0,88.0,49.0,74.0,113.0,55.0,74.0,21.0,7.0,0.32,32.0,1.0
425,428,ConstantPropagateProcFactory.java,35.0,1.0,28.0,6.0,7.0,10.0,24.0,4.0,36.0,36.0,12.0,0.0,36.0,0.0,16.0,0.0,20.0,1474.0,96.0,1124.0,365.0,726.0,254.0,553.0,813.0,340.0,608.0,71.0,5.0,0.23,255.0,1.0
447,450,CorrelationUtilities.java,15.0,1.0,12.0,2.0,3.0,1.0,26.0,0.0,26.0,26.0,0.0,0.0,26.0,0.0,1.0,22.0,3.0,480.0,49.0,358.0,120.0,197.0,75.0,174.0,257.0,111.0,176.0,8.0,3.0,0.21,80.0,0.0
493,496,DDLSemanticAnalyzer.java,29.0,2.0,23.0,4.0,5.0,2.0,9.0,3.0,106.0,106.0,97.0,2.0,106.0,1.0,95.0,0.0,10.0,3417.0,342.0,2635.0,828.0,1911.0,449.0,1461.0,1902.0,737.0,1493.0,82.0,8.0,0.17,508.0,1.0
494,497,DDLTask.java,40.0,3.0,30.0,7.0,6.0,4.0,8.0,9.0,104.0,102.0,96.0,5.0,104.0,7.0,86.0,0.0,11.0,4484.0,425.0,3354.0,892.0,2409.0,707.0,1794.0,2426.0,862.0,1980.0,70.0,6.0,0.21,633.0,1.0
495,498,DDLWork.java,6.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,149.0,149.0,149.0,50.0,149.0,0.0,0.0,0.0,149.0,1158.0,178.0,623.0,278.0,197.0,357.0,253.0,403.0,208.0,195.0,1.0,0.0,0.57,149.0,0.0
538,541,Decimal128.java,21.0,1.0,9.0,11.0,2.0,1.0,7.0,6.0,83.0,83.0,76.0,4.0,83.0,0.0,1.0,0.0,82.0,1988.0,184.0,808.0,180.0,530.0,1001.0,414.0,593.0,165.0,457.0,22.0,4.0,1.24,185.0,0.0
598,602,DirWatcher.java,12.0,0.0,11.0,1.0,2.0,6.0,0.0,2.0,24.0,22.0,24.0,26.0,24.0,9.0,5.0,0.0,10.0,414.0,48.0,325.0,112.0,179.0,44.0,171.0,239.0,106.0,154.0,17.0,7.0,0.14,58.0,0.0
617,621,Driver.java,29.0,2.0,22.0,4.0,5.0,4.0,6.0,5.0,62.0,62.0,56.0,24.0,62.0,0.0,26.0,0.0,36.0,1993.0,203.0,1500.0,377.0,996.0,296.0,771.0,1074.0,372.0,824.0,39.0,6.0,0.2,293.0,1.0
