Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,Bugs
AlterTableDesc.java,6.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,18.0,18.0,0.0,3.0,1.0,2.0,85.0,81.0,84.0,61.0,85.0,79.0,0.0,1.0,0.0,84.0,140.0,738.0,90.0,384.0,165.0,144.0,264.0,75.0,68.0,186.0,269.0,134.0,136.0,1.0,2.0,2.0,2.0,2.0,1.0,95.0,95.0,0.69,82.0,82.0,82.0,0.0
AppConfig.java,5.0,0.0,5.0,1.0,2.0,2.0,2.0,2.0,28.0,28.0,0.0,3.0,4.0,52.0,44.0,42.0,40.0,2.0,44.0,42.0,0.0,7.0,0.0,37.0,115.0,413.0,36.0,290.0,149.0,186.0,88.0,144.0,88.0,175.0,249.0,144.0,122.0,1.0,8.0,8.0,8.0,2.0,4.0,0.0,0.0,0.3,66.0,66.0,66.0,1.0
AvgPartitionSizeBasedBigTableSelectorForAutoSMJ.java,63.0,8.0,52.0,5.0,11.0,11.0,11.0,2.0,17.0,17.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,4.0,112.0,14.0,74.0,35.0,40.0,26.0,13.0,27.0,44.0,57.0,32.0,30.0,11.0,11.0,11.0,11.0,2.0,4.0,0.0,0.0,0.35,11.0,11.0,11.0,0.0
BaseSemanticAnalyzer.java,13.0,0.0,11.0,2.0,3.0,2.0,3.0,4.0,105.0,105.0,9.0,5.0,27.0,4.0,96.0,95.0,70.0,38.0,97.0,95.0,2.0,8.0,26.0,61.0,769.0,1473.0,145.0,1118.0,338.0,674.0,223.0,350.0,1053.0,577.0,812.0,331.0,566.0,1.0,21.0,21.0,31.0,1.0,5.0,67.5,59.0,0.2,252.0,226.0,283.0,1.0
BeeLine.java,13.0,1.0,10.0,2.0,3.0,3.0,3.0,10.0,187.0,187.0,1.0,3.0,9.0,16.0,122.0,122.0,113.0,23.0,122.0,260.0,81.0,9.0,3.0,29.0,1112.0,2181.0,318.0,1565.0,355.0,1035.0,326.0,1035.0,1065.0,651.0,966.0,365.0,713.0,1.0,12.0,12.0,14.0,2.0,8.0,0.0,0.0,0.21,324.0,324.0,359.0,0.0
BeeLineOpts.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,27.0,27.0,0.0,1.0,0.0,8.0,87.0,87.0,87.0,38.0,87.0,87.0,1.0,0.0,0.0,86.0,204.0,571.0,107.0,426.0,176.0,198.0,38.0,142.0,105.0,196.0,306.0,172.0,152.0,1.0,4.0,4.0,5.0,1.0,2.0,97.0,97.0,0.09,109.0,109.0,113.0,1.0
BinarySortableSerDe.java,31.0,2.0,26.0,3.0,6.0,4.0,6.0,3.0,107.0,107.0,1.0,1.0,19.0,2.0,26.0,26.0,7.0,9.0,26.0,77.0,3.0,2.0,0.0,21.0,268.0,984.0,90.0,771.0,273.0,512.0,123.0,230.0,225.0,486.0,570.0,259.0,405.0,2.0,71.0,51.0,74.0,3.0,5.0,0.0,0.0,0.16,149.0,109.0,155.0,1.0
BitmapIndexHandler.java,33.0,3.0,25.0,5.0,4.0,4.0,4.0,1.0,42.0,42.0,0.0,1.0,0.0,1.0,7.0,7.0,7.0,1.0,7.0,17.0,0.0,2.0,1.0,4.0,31.0,308.0,37.0,220.0,93.0,133.0,54.0,73.0,94.0,147.0,183.0,89.0,126.0,4.0,9.0,9.0,10.0,3.0,3.0,100.0,100.0,0.25,28.0,28.0,30.0,0.0
BucketingSortingReduceSinkOptimizer.java,32.0,3.0,24.0,5.0,5.0,5.0,6.0,5.0,67.0,67.0,0.0,3.0,0.0,0.0,16.0,16.0,16.0,2.0,16.0,20.0,0.0,11.0,0.0,5.0,52.0,633.0,63.0,431.0,162.0,259.0,139.0,130.0,498.0,222.0,320.0,153.0,224.0,2.0,41.0,41.0,48.0,2.0,6.0,0.0,0.0,0.32,80.0,80.0,91.0,1.0
CalcitePlanner.java,40.0,4.0,30.0,7.0,5.0,5.0,6.0,10.0,283.0,283.0,0.0,11.0,5.0,3.0,72.0,68.0,67.0,23.0,72.0,401.0,14.0,45.0,0.0,13.0,537.0,3238.0,357.0,2348.0,877.0,1719.0,537.0,991.0,18218.0,1345.0,1694.0,788.0,1287.0,3.0,23.0,23.0,34.0,3.0,6.0,0.0,0.0,0.23,363.0,352.0,437.0,1.0
Cleaner.java,32.0,2.0,26.0,5.0,6.0,6.0,7.0,12.0,134.0,134.0,1.0,2.0,0.0,2.0,6.0,6.0,6.0,3.0,6.0,121.0,0.0,4.0,0.0,2.0,186.0,257.0,20.0,189.0,63.0,117.0,48.0,468.0,1235.0,97.0,142.0,71.0,94.0,2.0,17.0,17.0,19.0,3.0,7.0,0.0,0.0,0.25,35.0,35.0,43.0,1.0
CliDriver.java,27.0,2.0,22.0,3.0,4.0,4.0,4.0,19.0,144.0,144.0,1.0,11.0,4.0,5.0,32.0,32.0,28.0,5.0,32.0,76.0,2.0,7.0,1.0,22.0,234.0,876.0,96.0,664.0,193.0,441.0,119.0,432.0,502.0,350.0,488.0,205.0,344.0,2.0,19.0,19.0,19.0,2.0,7.0,0.0,0.0,0.18,129.0,129.0,142.0,1.0
Cmp.java,27.0,0.0,24.0,2.0,4.0,4.0,5.0,2.0,20.0,20.0,0.0,1.0,0.0,0.0,10.0,10.0,10.0,11.0,10.0,10.0,7.0,0.0,0.0,3.0,60.0,320.0,17.0,265.0,65.0,186.0,38.0,77.0,139.0,157.0,201.0,67.0,164.0,2.0,16.0,16.0,21.0,1.0,8.0,69.0,67.0,0.14,43.0,43.0,52.0,0.0
ColAndCol.java,26.0,0.0,24.0,2.0,6.0,6.0,12.0,3.0,17.0,17.0,0.0,1.0,0.0,1.0,11.0,11.0,11.0,3.0,11.0,48.0,0.0,0.0,0.0,11.0,25.0,329.0,19.0,278.0,46.0,200.0,37.0,31.0,116.0,162.0,227.0,66.0,161.0,1.0,54.0,54.0,118.0,2.0,4.0,0.0,0.0,0.13,64.0,64.0,128.0,0.0
ColOrCol.java,26.0,0.0,24.0,2.0,6.0,6.0,12.0,3.0,17.0,17.0,0.0,1.0,0.0,1.0,11.0,11.0,11.0,3.0,11.0,48.0,0.0,0.0,0.0,11.0,25.0,332.0,20.0,278.0,46.0,200.0,39.0,31.0,116.0,162.0,227.0,66.0,161.0,1.0,54.0,54.0,118.0,2.0,4.0,0.0,0.0,0.14,64.0,64.0,128.0,0.0
Column.java,9.0,0.0,6.0,3.0,1.0,1.0,1.0,639.0,4217.0,4217.0,68.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,5608.0,6.0,0.0,0.0,0.0,17015.0,92.0,13.0,44.0,16.0,20.0,35.0,16006.0,2683664.0,22.0,31.0,16.0,18.0,1.0,3.0,3.0,3.0,4.0,2.0,0.0,0.0,0.8,8.0,8.0,8.0,1.0
Column.java,19.0,0.0,19.0,0.0,5.0,4.0,5.0,639.0,4217.0,4217.0,68.0,1.0,2.0,4.0,18.0,18.0,16.0,11.0,18.0,5608.0,0.0,8.0,0.0,10.0,17015.0,433.0,29.0,384.0,81.0,285.0,20.0,16006.0,2683664.0,248.0,305.0,80.0,240.0,1.0,18.0,11.0,18.0,4.0,1.0,0.0,0.0,0.05,94.0,66.0,95.0,1.0
ColumnPrunerProcFactory.java,24.0,2.0,19.0,3.0,4.0,4.0,4.0,26.0,269.0,269.0,3.0,15.0,20.0,1.0,41.0,41.0,21.0,0.0,41.0,44.0,0.0,12.0,0.0,29.0,109.0,1182.0,124.0,870.0,375.0,548.0,189.0,370.0,3252.0,481.0,675.0,353.0,490.0,2.5,18.0,18.0,18.0,2.0,4.0,0.0,0.0,0.22,150.0,150.0,158.0,1.0
ColumnStatisticsImpl.java,8.0,0.0,8.0,0.0,2.0,2.0,2.0,18.0,102.0,102.0,8.0,9.0,2.0,0.0,106.0,106.0,104.0,25.0,106.0,314.0,18.0,0.0,0.0,88.0,299.0,1097.0,123.0,954.0,288.0,528.0,20.0,280.0,229.0,393.0,630.0,201.0,463.0,1.0,15.0,9.0,15.0,2.0,3.0,32.0,30.0,0.02,245.0,232.0,258.0,1.0
ColumnStatsUpdateTask.java,29.0,1.0,27.0,1.0,6.0,6.0,6.0,1.0,39.0,39.0,0.0,1.0,0.0,2.0,9.0,9.0,9.0,0.0,9.0,81.0,0.0,5.0,0.0,4.0,29.0,344.0,23.0,287.0,105.0,203.0,34.0,123.0,53.0,179.0,240.0,101.0,186.0,1.0,41.0,41.0,41.0,2.0,3.0,0.0,0.0,0.12,53.0,53.0,53.0,1.0
Commands.java,20.0,1.0,17.0,1.0,4.0,4.0,4.0,16.0,230.0,230.0,0.0,4.0,0.0,2.0,79.0,79.0,79.0,1.0,79.0,141.0,3.0,17.0,0.0,59.0,731.0,1730.0,228.0,1392.0,257.0,992.0,115.0,1519.0,1670.0,600.0,878.0,269.0,706.0,2.0,21.0,21.0,22.0,2.0,6.0,0.0,0.0,0.08,292.0,288.0,318.0,1.0
CommonJoinOperator.java,16.0,1.0,13.0,1.0,3.0,3.0,4.0,2.0,28.0,28.0,2.0,1.0,1.0,3.0,36.0,36.0,35.0,36.0,36.0,146.0,0.0,15.0,10.0,11.0,217.0,829.0,112.0,548.0,172.0,344.0,185.0,181.0,497.0,327.0,438.0,172.0,295.0,1.0,20.0,20.0,30.0,2.0,7.0,92.0,88.0,0.34,106.0,106.0,138.0,1.0
CompactorTest.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,9.0,100.0,100.0,3.0,6.0,0.0,2.0,53.0,52.0,54.0,16.0,54.0,52.0,5.0,5.0,22.0,22.0,431.0,532.0,71.0,419.0,192.0,195.0,45.0,158.0,159.0,226.0,312.0,150.0,195.0,1.0,12.0,9.0,13.0,1.0,3.0,0.0,0.0,0.11,87.0,82.0,91.0,1.0
Complex.java,15.0,1.0,14.0,0.0,4.0,3.0,4.0,32.0,156.0,156.0,0.0,6.0,3.0,15.0,96.0,94.0,93.0,23.0,96.0,138.0,1.0,2.0,0.0,93.0,580.0,1706.0,169.0,1502.0,280.0,944.0,65.0,869.0,13560147.0,723.0,1059.0,281.0,852.0,1.0,32.0,32.0,70.0,2.0,6.0,0.0,0.0,0.04,364.0,319.0,411.0,0.0
