Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMin-divided-by-1,000","CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
AbstractBucketJoinProc.java,38.0,3.0,3.0,7.0,3.0,2.0,40.0,2.0,1.0,2.0,0.0,4.0,26.0,1.0,73.0,0.17,0.0,4.4,10.0,1.0,13.4,49.0,0.0,0.0,0.0,0.0,3.1,6.0,0.0
CalcitePlanner.java,41.0,4.0,7.0,5.0,1.0,1.1111111111111112,32.666666666666664,0.0,11.0,5.0,14.0,45.0,23.0,1.6666666666666667,25.55555555555556,0.23,1.0,8.261538461538462,39.0,1.0,16.692307692307693,82.0,0.0,0.0,0.0,0.0,1.6923076923076923,6.0,1.0
CommonJoinTaskDispatcher.java,49.0,5.0,12.0,7.0,5.0,2.0,51.0,0.0,1.0,1.0,0.0,7.0,22.0,2.0,80.0,0.5,2.0,4.444444444444445,11.0,1.0,16.555555555555557,68.0,0.0,0.0,0.0,0.0,2.333333333333333,4.0,1.0
ConvertJoinMapJoin.java,48.0,5.0,7.0,8.0,5.0,2.0,61.0,0.0,1.0,1.0,0.0,12.0,21.0,1.0,0.0,0.26,2.0,6.4,16.0,4.0,15.0,45.0,0.0,0.0,0.0,1.0,2.6666666666666665,6.0,1.0
DDLTask.java,40.0,3.0,7.0,6.0,2.0,2.0,81.0,0.0,4.0,8.0,7.0,86.0,70.0,1.3333333333333333,32.333333333333336,0.21,0.0,6.594059405940594,34.0,1.0,16.77227722772277,112.0,0.0,10.0,1000.0,0.0,1.7326732673267329,6.0,1.0
ExecReducer.java,67.0,5.0,6.0,9.0,1.0,2.0,34.0,0.0,1.0,0.0,0.0,0.0,15.0,2.0,36.0,0.22,9.0,16.0,24.0,10.0,26.33333333333333,37.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0
ExportSemanticAnalyzer.java,73.0,6.0,8.0,11.0,1.0,1.0,36.0,0.0,1.0,0.0,0.0,0.0,20.0,2.0,50.0,0.25,22.0,22.0,22.0,51.0,51.0,51.0,3.0,0.0,0.0,4.0,4.0,4.0,0.0
FileOutputCommitterContainer.java,37.0,3.0,7.0,6.0,1.0,1.0,65.0,0.0,1.0,1.0,0.0,15.0,30.0,3.0,84.0,0.27,1.0,6.565217391304348,17.0,1.0,13.0,64.0,0.0,0.0,0.0,0.0,2.217391304347826,8.0,0.0
GenMRSkewJoinProcessor.java,55.0,7.0,8.0,6.0,2.0,1.0,49.0,0.0,1.0,5.0,3.0,1.0,24.0,1.0,67.0,0.23,5.0,7.4,9.0,1.0,21.8,101.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
GenMapRedUtils.java,38.0,3.0,10.0,5.0,2.0,1.25,36.25,0.0,2.0,46.0,5.0,4.0,42.0,1.0,37.0,0.38,1.0,6.0,26.0,1.0,11.545454545454543,74.0,0.0,1.0,34.0,0.0,1.3818181818181818,6.0,1.0
