Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
AMReporter.java,11.0,0.0,0.0,2.0,1.0,1.2222222222222223,12.88888888888889,0.0,9.0,0.0,8.0,0.0,8.0,1.7777777777777777,16.666666666666668,0.11,0.0,4.071428571428571,14.0,0.0,4.357142857142857,20.0,0.0,0.0,0.0,0.6071428571428571,4.0,0.0
ASTBuilder.java,12.0,0.0,0.0,3.0,1.0,1.0,21.0,0.0,1.0,14.0,18.0,0.0,23.0,1.0,72.0,0.11,2.0,9.444444444444445,36.0,1.0,4.888888888888889,22.0,0.0,0.0,0.0,0.2777777777777778,2.0,1.0
ASTConverter.java,17.0,1.0,2.0,3.0,1.0,1.0,14.428571428571429,0.0,7.0,2.0,9.0,8.0,14.0,1.2857142857142858,26.142857142857142,0.14,2.0,6.15,25.0,2.0,8.85,40.0,0.0,0.0,0.0,1.4,4.0,0.0
ASTErrorNode.java,2.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.95,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTNode.java,10.0,1.0,1.0,2.0,1.0,2.0,9.0,0.5,1.0,0.0,0.0,8.0,11.0,1.5,77.5,0.24,0.0,9.181818181818182,134.0,1.0,4.636363636363637,23.0,0.0,0.0,0.0,0.7878787878787878,4.0,1.0
ASTNodeOrigin.java,7.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,67.0,1.77,2.0,2.2,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATSHook.java,15.0,1.0,2.0,1.0,1.0,1.6666666666666667,16.333333333333332,0.0,7.0,0.0,3.0,0.0,8.0,1.0,20.0,0.21,2.0,8.833333333333334,24.0,1.0,10.333333333333334,26.0,0.0,0.0,0.0,0.8333333333333334,2.0,1.0
AbortDroneException.java,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbortTxnRequest.java,7.0,0.0,1.0,2.0,1.0,2.2,9.6,0.0,6.0,3.0,1.0,2.0,5.0,1.4,14.2,0.1,0.0,2.5,8.0,1.0,2.6875,9.0,0.0,0.0,0.0,0.5625,3.0,0.0
AbstractCommandHandler.java,7.0,0.0,0.0,2.0,2.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,73.0,0.37,1.0,1.5714285714285714,4.0,1.0,1.4285714285714286,4.0,0.0,0.0,0.0,0.2857142857142857,2.0,0.0
AbstractCorrelationProcCtx.java,4.0,0.0,0.0,1.0,1.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,70.0,0.5,1.0,4.714285714285714,8.0,1.0,1.2857142857142858,2.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractDeserializer.java,0.0,0.0,0.0,0.0,0.0,1.5,8.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,4.45,0.0,0.5,3.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractEncodingAwareSerDe.java,8.0,0.0,0.0,2.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.74,1.0,3.7142857142857135,10.0,1.0,2.4285714285714284,5.0,0.0,0.0,0.0,0.4285714285714285,1.0,0.0
AbstractExpression.java,8.0,0.0,0.0,2.0,1.0,1.0,15.0,34.0,1.0,0.0,0.0,0.0,3.0,1.0,91.0,0.11,0.0,8.333333333333334,38.0,0.0,4.083333333333333,7.0,0.0,0.0,0.0,0.9166666666666666,2.0,0.0
AbstractFileMergeOperator.java,21.0,1.0,4.0,3.0,1.0,2.0,18.0,2.0,1.0,0.0,0.0,2.0,9.0,2.0,77.0,0.34,4.0,6.5,13.0,3.0,9.5,29.0,0.0,0.0,0.0,1.75,5.0,1.0
AbstractFilterStringColLikeStringScalar.java,12.0,1.0,1.0,3.0,2.0,1.7142857142857142,5.142857142857143,0.2857142857142857,9.0,0.0,7.0,1.0,24.0,1.1428571428571428,12.857142857142858,0.26,0.0,3.611111111111111,18.0,1.0,2.611111111111111,15.0,0.0,0.0,0.0,0.9444444444444444,5.0,1.0
AbstractGenericUDAFResolver.java,9.0,1.0,0.0,2.0,1.0,2.0,6.0,21.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.17,1.0,1.0,1.0,2.0,3.5,5.0,0.0,0.0,0.0,0.5,1.0,0.0
AbstractGenericUDFEWAHBitmapBop.java,15.0,1.0,0.0,2.0,1.0,1.0,23.0,2.0,1.0,0.0,1.0,0.0,4.0,2.0,67.0,0.2,1.0,3.1666666666666665,5.0,1.0,6.0,10.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0
AbstractGenericUDFReflect.java,15.0,0.0,1.0,3.0,2.0,1.0,14.0,2.0,1.0,0.0,3.0,0.0,6.0,2.0,50.0,0.37,1.0,6.0,11.0,1.0,5.2,10.0,0.0,0.0,0.0,1.2,3.0,0.0
AbstractHBaseKeyFactory.java,5.0,0.0,0.0,1.0,1.0,2.0,14.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,67.0,0.61,2.0,2.6666666666666665,3.0,2.0,2.6666666666666665,4.0,0.0,0.0,0.0,0.0,0.0,1.0
AbstractHBaseKeyPredicateDecomposer.java,16.0,2.0,3.0,2.0,2.0,1.0,14.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.84,1.0,2.333333333333333,5.0,1.0,5.666666666666667,15.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0
AbstractHiveAuthorizer.java,8.0,0.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.29,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractHiveService.java,6.0,0.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,81.0,0.76,1.0,4.125,21.0,1.0,1.5,3.0,0.0,0.0,0.0,0.1875,1.0,1.0
AbstractIndexHandler.java,6.0,0.0,0.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.82,0.0,0.6666666666666666,1.0,1.0,3.333333333333333,8.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0
AbstractJoinTaskDispatcher.java,26.0,1.0,4.0,5.0,2.0,2.0,22.0,2.0,1.0,0.0,0.0,0.0,7.0,1.0,20.0,0.33,1.0,4.2,7.0,1.0,7.8,13.0,0.0,0.0,0.0,2.8,5.0,0.0
AbstractMapJoinOperator.java,9.0,1.0,0.0,1.0,1.0,2.0,12.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,80.0,0.35,1.0,5.5,13.0,1.0,6.75,16.0,0.0,0.0,0.0,0.5,1.0,1.0
AbstractMapJoinTableContainer.java,4.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,25.0,0.72,1.0,3.0,5.0,1.0,2.6666666666666665,5.0,0.0,0.0,0.0,0.0,0.0,0.0
