Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMean-divided-by-1,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
ACLConfigurationParser.java,11.0,0.0,0.0,3.0,3.0,2.0,1.0,8.5,0.0,1.0,0.0,0.0,3.0,0.0,11.0,1.0,22.5,0.16,1.0,3.9,13.0,1.0,4.5,12.0,0.0,0.0,0.0,0.9,3.0,0.0
AMReporter.java,12.0,0.0,1.0,2.0,2.0,1.0,1.2222222222222223,13.333333333333334,0.0,9.0,0.0,10.0,0.0,3.0,7.0,1.7777777777777777,17.22222222222222,0.13,0.0,4.166666666666667,14.0,0.0,4.2,20.0,0.0,0.0,0.0,0.6666666666666666,4.0,1.0
ASTBuilder.java,16.0,1.0,1.0,5.0,2.0,1.0,1.0,23.0,0.0,1.0,14.0,0.0,0.0,0.0,64.0,1.0,72.0,0.09,2.0,10.72222222222222,47.0,1.0,5.277777777777778,23.0,0.0,0.0,0.0,0.3333333333333333,2.0,1.0
ASTConverter.java,18.0,1.0,2.0,4.0,4.0,1.0,1.0,16.142857142857142,0.0,7.0,2.0,11.0,9.0,2.0,21.0,1.2857142857142858,26.428571428571427,0.15,2.0,6.7727272727272725,28.0,2.0,9.409090909090908,56.0,0.0,0.0,0.0,1.5454545454545454,5.0,0.0
ASTErrorNode.java,2.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.95,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTNode.java,10.0,1.0,1.0,2.0,2.0,1.0,2.0,8.5,0.5,1.0,0.0,0.0,8.0,0.0,11.0,1.5,77.5,0.24,0.0,10.212121212121213,143.0,1.0,4.606060606060606,23.0,0.0,0.0,0.0,0.8181818181818182,5.0,0.0
ASTNodeOrigin.java,7.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,67.0,1.77,2.0,2.2,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATSHook.java,20.0,1.0,2.0,2.0,2.0,1.0,2.0,17.2,0.0,10.0,1.0,3.0,4.0,2.0,10.0,1.0,16.4,0.14,2.0,8.5,42.0,1.0,11.285714285714286,37.0,0.0,0.0,0.0,1.5,4.0,1.0
AbortDroneException.java,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbortTxnRequest.java,7.0,0.0,1.0,2.0,2.0,1.0,2.2,9.6,0.0,6.0,3.0,1.0,2.0,0.0,5.0,1.4,14.2,0.1,0.0,2.5,8.0,1.0,2.6875,9.0,0.0,0.0,0.0,0.5625,3.0,0.0
AbortTxnsDesc.java,5.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.77,1.0,2.333333333333333,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbortTxnsRequest.java,8.0,0.0,0.0,2.0,2.0,1.0,2.2,11.4,0.0,6.0,3.0,1.0,2.0,0.0,6.0,1.4,8.8,0.08,0.0,2.3714285714285714,7.0,1.0,2.857142857142857,12.0,0.0,0.0,0.0,0.7428571428571429,4.0,0.0
AbstractCliConfig.java,7.0,0.0,0.0,2.0,2.0,1.0,1.4,9.6,4.6,6.0,1.0,0.0,4.0,13.0,8.0,1.4,18.6,0.08,1.0,8.314285714285715,23.0,1.0,3.8,15.0,0.0,0.0,0.0,0.8,4.0,0.0
AbstractCommandHandler.java,7.0,0.0,0.0,2.0,2.0,2.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,73.0,0.37,1.0,1.5714285714285714,4.0,1.0,1.4285714285714286,4.0,0.0,0.0,0.0,0.2857142857142857,2.0,0.0
AbstractCorrelationProcCtx.java,5.0,0.0,0.0,2.0,2.0,1.0,2.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,70.0,0.37,1.0,4.857142857142857,8.0,1.0,1.2857142857142858,2.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractDeserializer.java,0.0,0.0,0.0,0.0,0.0,0.0,1.5,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,4.45,0.0,0.5,3.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractEncodingAwareSerDe.java,8.0,0.0,0.0,2.0,2.0,1.0,1.0,13.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.74,1.0,3.857142857142857,10.0,1.0,2.4285714285714284,5.0,0.0,0.0,0.0,0.4285714285714285,1.0,0.0
AbstractExpression.java,8.0,0.0,0.0,2.0,2.0,1.0,1.0,15.0,34.0,1.0,0.0,0.0,0.0,10.0,3.0,1.0,91.0,0.11,0.0,8.333333333333334,38.0,0.0,4.083333333333333,7.0,0.0,0.0,0.0,0.9166666666666666,2.0,0.0
AbstractFileMergeOperator.java,18.0,1.0,4.0,3.0,3.0,1.0,2.0,18.0,2.0,1.0,1.0,0.0,2.0,4.0,9.0,2.0,81.0,0.32,1.0,5.4,13.0,1.0,7.9,29.0,0.0,0.0,0.0,1.4,5.0,1.0
AbstractFilterStringColLikeStringScalar.java,13.0,1.0,1.0,3.0,3.0,2.0,1.75,6.25,0.25,10.0,0.0,9.0,1.0,1.0,24.0,1.125,19.5,0.29,0.0,4.285714285714286,19.0,1.0,2.8095238095238093,15.0,0.0,0.0,0.0,0.8095238095238095,5.0,0.0
AbstractGenericUDAFResolver.java,9.0,1.0,0.0,2.0,2.0,1.0,2.0,6.0,21.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.17,1.0,1.0,1.0,2.0,3.5,5.0,0.0,0.0,0.0,0.5,1.0,0.0
AbstractGenericUDFEWAHBitmapBop.java,15.0,1.0,0.0,2.0,2.0,1.0,1.0,23.0,2.0,1.0,0.0,1.0,0.0,3.0,4.0,2.0,67.0,0.2,1.0,3.1666666666666665,5.0,1.0,6.0,10.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0
AbstractGenericUDFReflect.java,15.0,0.0,1.0,3.0,3.0,2.0,1.0,14.0,2.0,1.0,0.0,3.0,0.0,1.0,6.0,2.0,50.0,0.37,1.0,6.0,11.0,1.0,5.2,10.0,0.0,0.0,0.0,1.2,3.0,0.0
AbstractHBaseKeyFactory.java,5.0,0.0,0.0,1.0,1.0,1.0,2.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,67.0,0.61,2.0,2.6666666666666665,3.0,2.0,2.6666666666666665,4.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractHBaseKeyPredicateDecomposer.java,16.0,2.0,3.0,2.0,2.0,2.0,1.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.84,1.0,2.333333333333333,5.0,1.0,5.666666666666667,15.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0
