Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,"CountPathMean-divided-by-1,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
ACLConfigurationParser.java,11.0,0.0,0.0,3.0,3.0,2.0,1.0,7.5,0.0,1.0,0.0,0.0,3.0,0.0,11.0,1.0,22.5,0.16,1.0,3.9,13.0,1.0,4.4,12.0,1.0,0.0,0.0,0.0,0.9,3.0,0.0
AMReporter.java,12.0,0.0,1.0,2.0,2.0,1.0,1.1111111111111112,12.555555555555555,0.0,9.0,0.0,10.0,1.0,3.0,7.0,1.8888888888888888,17.22222222222222,0.12,0.0,4.419354838709677,16.0,0.0,4.451612903225806,20.0,1.0,0.0,0.0,0.0,0.6774193548387096,4.0,0.0
ASTBuilder.java,16.0,1.0,1.0,5.0,2.0,1.0,1.0,23.0,0.0,1.0,14.0,0.0,0.0,0.0,64.0,1.0,72.0,0.09,2.0,10.666666666666666,45.0,1.0,5.0,18.0,1.0,0.0,0.0,0.0,0.3333333333333333,2.0,0.0
ASTConverter.java,18.0,1.0,2.0,4.0,4.0,1.0,1.0,16.0,0.0,7.0,2.0,11.0,9.0,2.0,21.0,1.4285714285714286,26.428571428571427,0.15,2.0,6.7727272727272725,28.0,2.0,9.090909090909092,53.0,1.0,0.0,0.0,0.0,1.5454545454545454,5.0,0.0
ASTErrorNode.java,2.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.95,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTNode.java,10.0,1.0,1.0,2.0,2.0,1.0,2.0,7.0,0.5,1.0,0.0,0.0,8.0,0.0,11.0,1.5,77.5,0.24,0.0,7.818181818181818,63.0,1.0,4.242424242424242,21.0,1.0,0.0,0.0,0.0,0.8181818181818182,5.0,0.0
ASTNodeOrigin.java,7.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,67.0,1.77,2.0,2.2,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATSHook.java,19.0,1.0,2.0,2.0,2.0,1.0,1.2,16.2,0.0,10.0,1.0,3.0,4.0,2.0,10.0,1.8,16.4,0.14,2.0,8.785714285714286,45.0,1.0,10.857142857142858,38.0,1.0,0.0,0.0,0.0,1.5,4.0,0.0
AbortDroneException.java,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbortTxnRequest.java,7.0,0.0,1.0,2.0,2.0,1.0,2.2,9.4,0.0,6.0,3.0,1.0,2.0,0.0,5.0,1.4,14.2,0.1,0.0,2.5625,8.0,1.0,2.40625,9.0,1.0,0.0,0.0,0.0,0.5625,3.0,0.0
AbortTxnsDesc.java,5.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.77,1.0,2.333333333333333,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbortTxnsRequest.java,8.0,0.0,0.0,2.0,2.0,1.0,2.2,10.8,0.0,6.0,3.0,1.0,2.0,0.0,6.0,1.4,8.8,0.08,0.0,2.4285714285714284,7.0,1.0,2.571428571428572,12.0,1.0,0.0,0.0,0.0,0.7428571428571429,4.0,0.0
AbstractBucketJoinProc.java,38.0,3.0,3.0,7.0,7.0,3.0,2.0,40.0,2.0,1.0,2.0,0.0,4.0,3.0,26.0,1.0,73.0,0.17,0.0,4.4,10.0,1.0,11.8,43.0,0.0,0.0,0.0,0.0,3.1,6.0,0.0
AbstractCliConfig.java,7.0,0.0,0.0,2.0,2.0,1.0,1.4,8.6,5.0,6.0,1.0,0.0,4.0,13.0,8.0,1.4,18.6,0.08,1.0,9.485714285714286,26.0,1.0,3.1714285714285717,12.0,1.0,0.0,0.0,0.0,0.8,4.0,0.0
AbstractCommandHandler.java,7.0,0.0,0.0,2.0,2.0,2.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,73.0,0.37,1.0,1.5714285714285714,4.0,1.0,1.4285714285714286,4.0,1.0,0.0,0.0,0.0,0.2857142857142857,2.0,0.0
