Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclMethodDefault,CountDeclMethodPrivate,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,"CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
ACLConfigurationParser.java,11.0,0.0,0.0,3.0,2.0,1.0,7.5,0.0,1.0,0.0,3.0,11.0,1.0,22.5,0.16,1.0,3.9,13.0,1.0,4.4,12.0,1.0,0.0,0.0,0.0,0.9,3.0,0.0
AMReporter.java,12.0,0.0,1.0,2.0,1.0,1.0769230769230769,12.153846153846152,0.0769230769230769,10.0,11.0,2.0,7.0,1.8461538461538465,20.23076923076923,0.13,0.0,4.513513513513513,18.0,0.0,4.702702702702703,21.0,1.0,0.0,0.0,0.0,0.6756756756756757,4.0,0.0
ASTBuilder.java,17.0,1.0,1.0,5.0,1.0,1.0,30.0,0.0,1.0,0.0,0.0,66.0,1.0,72.0,0.1,1.0,10.894736842105264,47.0,1.0,5.578947368421052,28.0,1.0,0.0,0.0,0.0,0.3157894736842105,2.0,0.0
ASTConverter.java,18.0,1.0,2.0,4.0,1.0,1.0,15.25,0.0,8.0,12.0,9.0,20.0,1.5,23.125,0.14,2.0,6.956521739130435,27.0,1.0,9.217391304347826,49.0,1.0,0.0,0.0,0.0,1.608695652173913,5.0,0.0
ASTErrorNode.java,2.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.95,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTNode.java,10.0,1.0,1.0,2.0,1.0,2.0,7.0,0.5,1.0,0.0,8.0,11.0,1.5,77.5,0.24,0.0,8.212121212121213,60.0,1.0,4.303030303030303,23.0,1.0,0.0,0.0,0.0,0.8181818181818182,5.0,0.0
ASTNodeOrigin.java,7.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,67.0,1.77,2.0,2.2,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATSHook.java,19.0,1.0,2.0,2.0,1.0,1.1666666666666667,15.5,0.0,10.0,3.0,4.0,10.0,1.6666666666666667,17.833333333333332,0.14,0.0,7.9375,46.0,1.0,10.0625,38.0,1.0,0.0,0.0,0.0,1.3125,4.0,0.0
AbortDroneException.java,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbortTxnEvent.java,8.0,0.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.81,2.0,4.5,7.0,1.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbortTxnHandler.java,5.0,0.0,0.0,1.0,1.0,1.0,10.5,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.85,1.0,4.333333333333333,9.0,1.0,8.0,17.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
AbortTxnHandler.java,19.0,2.0,0.0,2.0,1.0,1.0,10.5,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.7,1.0,4.333333333333333,9.0,1.0,8.0,17.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
AbortTxnMessage.java,3.0,0.0,0.0,1.0,1.0,1.0,4.5,0.5,1.0,0.0,0.0,1.0,2.5,37.5,3.43,0.0,1.5454545454545454,4.0,1.0,1.3636363636363635,3.0,0.0,0.0,0.0,0.0,0.1818181818181818,1.0,0.0
AbortTxnRequest.java,8.0,0.0,1.0,2.0,1.0,2.2,10.0,0.0,6.0,1.0,2.0,8.0,1.4,14.2,0.08,0.0,3.135135135135135,10.0,1.0,2.864864864864865,12.0,1.0,0.0,0.0,0.0,0.6756756756756757,3.0,0.0
AbortTxnsDesc.java,5.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.77,1.0,2.333333333333333,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbortTxnsRequest.java,8.0,0.0,0.0,2.0,1.0,2.2,11.2,0.0,6.0,1.0,2.0,6.0,1.4,8.8,0.08,0.0,2.4571428571428573,7.0,1.0,2.571428571428572,12.0,1.0,0.0,0.0,0.0,0.7428571428571429,4.0,0.0
AbstractBucketJoinProc.java,39.0,3.0,3.0,7.0,4.0,2.0,42.0,2.0,1.0,0.0,4.0,27.0,1.0,73.0,0.17,0.0,4.5,11.0,1.0,12.1,46.0,0.0,0.0,0.0,0.0,3.1,6.0,0.0
AbstractCliConfig.java,7.0,0.0,0.0,2.0,1.0,1.4,8.2,5.8,6.0,0.0,3.0,8.0,1.4,18.6,0.09,1.0,10.764705882352942,30.0,1.0,2.9411764705882355,12.0,1.0,0.0,0.0,0.0,0.7352941176470589,4.0,0.0
AbstractCommandHandler.java,7.0,0.0,0.0,2.0,2.0,2.0,9.0,1.0,1.0,0.0,0.0,5.0,1.0,73.0,0.37,1.0,1.5714285714285714,4.0,1.0,1.4285714285714286,4.0,1.0,0.0,0.0,0.0,0.2857142857142857,2.0,0.0
AbstractConstraintEventHandler.java,6.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,0.0,1.0,2.0,0.0,1.06,9.0,9.0,9.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractCoreBlobstoreCliDriver.java,16.0,1.0,1.0,2.0,1.0,1.5,11.0,1.0,2.0,0.0,1.0,6.0,1.5,28.5,0.19,0.0,5.285714285714286,12.0,1.0,10.571428571428571,21.0,1.0,0.0,0.0,0.0,1.1428571428571428,2.0,0.0
AbstractCorrelationProcCtx.java,5.0,0.0,0.0,2.0,1.0,2.0,11.0,3.0,1.0,0.0,0.0,5.0,1.0,70.0,0.37,1.0,5.142857142857143,9.0,1.0,1.2857142857142858,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractDeserializer.java,0.0,0.0,0.0,0.0,0.0,1.5,8.5,2.0,1.0,0.0,0.0,0.0,1.0,50.0,4.45,0.0,0.5,3.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractEncodingAwareSerDe.java,8.0,0.0,0.0,2.0,1.0,1.0,12.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.74,1.0,3.857142857142857,10.0,1.0,2.4285714285714284,5.0,0.0,0.0,0.0,0.0,0.4285714285714285,1.0,0.0
AbstractEventHandler.java,4.0,0.0,0.0,1.0,1.0,2.0,6.0,19.0,1.0,1.0,0.0,1.0,1.0,33.0,0.74,1.0,12.0,23.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractExpression.java,9.0,0.0,0.0,2.0,1.0,1.0,17.0,37.0,1.0,0.0,0.0,3.0,1.0,92.0,0.09,0.0,8.307692307692308,41.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
AbstractFileMergeOperator.java,21.0,1.0,5.0,4.0,1.0,2.0,19.0,2.0,1.0,0.0,2.0,14.0,2.0,82.0,0.38,1.0,6.583333333333333,19.0,1.0,8.0,24.0,1.0,0.0,0.0,0.0,1.5833333333333333,6.0,0.0
AbstractFilterStringColLikeStringScalar.java,14.0,1.0,1.0,3.0,1.0,1.75,6.25,0.25,10.0,9.0,1.0,23.0,1.125,17.375,0.31,1.0,4.842105263157895,18.0,1.0,2.8421052631578947,12.0,0.0,0.0,0.0,0.0,0.7894736842105263,5.0,0.0
AbstractGenericUDAFResolver.java,9.0,1.0,0.0,2.0,1.0,2.0,7.0,30.0,1.0,0.0,0.0,2.0,1.0,0.0,1.13,1.0,1.0,1.0,2.0,3.5,5.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0
AbstractGenericUDFReflect.java,15.0,0.0,1.0,3.0,2.0,1.0,14.0,2.0,1.0,3.0,0.0,6.0,2.0,50.0,0.37,1.0,6.0,11.0,1.0,5.2,10.0,0.0,0.0,0.0,0.0,1.2,3.0,0.0
AbstractHBaseKeyFactory.java,5.0,0.0,0.0,1.0,1.0,2.0,14.0,2.0,1.0,0.0,0.0,1.0,1.0,67.0,0.61,2.0,2.6666666666666665,3.0,2.0,2.6666666666666665,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractHBaseKeyPredicateDecomposer.java,16.0,2.0,3.0,2.0,2.0,1.0,13.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.84,1.0,2.333333333333333,5.0,1.0,5.333333333333333,14.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0
AbstractHCatLoaderTest.java,23.0,1.0,2.0,2.0,1.0,1.0,34.5,3.0,2.0,5.0,7.0,6.0,1.5,44.0,0.13,0.0,6.222222222222222,27.0,1.0,7.444444444444445,22.0,0.0,0.0,0.0,0.0,0.8888888888888888,4.0,0.0
AbstractHCatStorerTest.java,27.0,2.0,2.0,2.0,1.0,1.0,21.5,3.5,2.0,6.0,0.0,11.0,2.0,34.0,0.13,0.0,5.735294117647059,20.0,1.0,9.117647058823527,24.0,0.0,0.0,0.0,0.0,0.6176470588235294,2.0,0.0
AbstractHiveAuthorizer.java,6.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.36,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractHiveService.java,6.0,0.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,2.0,1.0,83.0,0.71,1.0,5.882352941176471,32.0,1.0,1.3529411764705883,3.0,1.0,0.0,0.0,0.0,0.1764705882352941,1.0,0.0
AbstractJdbcTriggersTest.java,17.0,1.0,0.0,3.0,1.0,1.0,36.0,3.0,1.0,5.0,1.0,8.0,1.0,75.0,0.1,0.0,8.363636363636363,34.0,0.0,7.727272727272727,23.0,0.0,0.0,0.0,0.0,0.8181818181818182,4.0,0.0
AbstractJoinTaskDispatcher.java,26.0,1.0,4.0,5.0,2.0,2.0,22.0,2.0,1.0,0.0,0.0,7.0,1.0,20.0,0.33,1.0,4.2,7.0,1.0,7.6,12.0,0.0,0.0,0.0,0.0,2.8,5.0,0.0
AbstractMapJoin.java,17.0,3.0,1.0,2.0,1.0,1.6666666666666667,14.333333333333334,3.333333333333333,1.0,0.0,3.0,2.0,1.6666666666666667,58.0,0.15,1.0,6.0,22.0,1.0,5.214285714285714,17.0,1.0,0.0,0.0,0.0,0.4285714285714285,1.0,0.0
AbstractMapJoinOperator.java,9.0,1.0,0.0,1.0,1.0,2.0,12.0,3.0,1.0,0.0,0.0,3.0,3.0,80.0,0.35,1.0,5.5,13.0,1.0,6.25,16.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0
AbstractMapJoinTableContainer.java,4.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,25.0,0.72,1.0,3.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractMapOperator.java,7.0,0.0,1.0,2.0,1.0,3.0,22.0,2.0,2.0,0.0,1.0,6.0,2.0,80.0,0.49,1.0,3.6666666666666665,13.0,0.0,2.4166666666666665,10.0,0.0,0.0,0.0,0.0,0.4166666666666667,2.0,0.0
AbstractMessageHandler.java,3.0,0.0,0.0,1.0,1.0,2.0,6.0,23.0,1.0,0.0,0.0,1.0,1.0,75.0,0.71,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractMetaStoreService.java,10.0,0.0,6.0,1.0,1.0,1.0,15.0,3.0,1.0,0.0,0.0,3.0,1.0,69.0,1.28,1.0,30.363636363636363,149.0,0.0,3.090909090909091,8.0,1.0,0.0,0.0,0.0,0.0909090909090909,1.0,0.0
AbstractOperatorBench.java,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractOperatorDesc.java,4.0,0.0,0.0,1.0,1.0,2.0,11.0,32.0,1.0,0.0,0.0,2.0,1.0,90.0,0.26,0.0,4.304347826086956,18.0,0.0,1.2173913043478262,5.0,1.0,0.0,0.0,0.0,0.0434782608695652,1.0,0.0
AbstractOutputFormat.java,12.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,1.47,1.0,1.0,1.0,0.0,1.5,6.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0
AbstractParquetMapInspector.java,10.0,1.0,0.0,3.0,2.0,1.3333333333333333,6.666666666666667,1.0,1.0,0.0,0.0,10.0,1.6666666666666667,20.666666666666668,0.1,0.0,1.8421052631578947,7.0,1.0,2.631578947368421,5.0,1.0,0.0,0.0,0.0,0.3157894736842105,2.0,0.0
AbstractPrimitiveJavaObjectInspector.java,4.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,1.0,0.0,0.0,1.0,2.0,0.0,0.87,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractPrimitiveLazyObjectInspector.java,4.0,0.0,0.0,1.0,1.0,1.0,3.0,18.0,1.0,0.0,0.0,2.0,2.0,0.0,0.91,0.0,4.0,8.0,1.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractPrimitiveObjectInspector.java,7.0,0.0,3.0,1.0,1.0,2.0,7.0,3.0,1.0,0.0,0.0,1.0,1.0,20.0,1.04,1.0,3.125,9.0,1.0,1.75,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractPrimitiveWritableObjectInspector.java,4.0,0.0,0.0,1.0,1.0,1.0,2.0,18.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractRecordWriter.java,14.0,0.0,1.0,3.0,1.0,1.6,23.6,1.2,3.0,3.0,4.0,9.0,1.2,34.2,0.25,0.0,5.0,20.0,0.0,7.232558139534884,50.0,0.0,0.0,0.0,0.0,1.2790697674418603,4.0,0.0
AbstractRecordWriter.java,16.0,0.0,1.0,3.0,1.0,1.6,23.6,1.2,2.0,1.0,0.0,10.0,1.2,34.2,0.12,0.0,5.0,20.0,0.0,7.232558139534884,50.0,0.0,0.0,0.0,0.0,1.2790697674418603,4.0,0.0
AbstractRowContainer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,4.875,7.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSMBJoinProc.java,41.0,4.0,10.0,4.0,3.0,2.0,48.0,4.0,1.0,0.0,2.0,12.0,2.0,0.0,0.42,0.0,5.1,8.0,1.0,13.4,28.0,0.0,0.0,0.0,0.0,1.4,3.0,0.0
AbstractSSHCommand.java,3.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,82.0,0.38,3.0,5.3,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSSHResult.java,5.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,71.0,0.43,1.0,3.8333333333333335,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSemanticAnalyzerHook.java,4.0,0.0,0.0,1.0,1.0,2.0,4.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,1.21,3.0,3.0,3.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSerDe.java,11.0,0.0,8.0,1.0,1.0,3.0,12.0,28.0,1.0,0.0,0.0,2.0,1.0,67.0,2.77,1.0,9.88888888888889,35.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSerializer.java,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.75,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractService.java,9.0,0.0,4.0,1.0,1.0,2.0,10.0,4.0,1.0,0.0,2.0,2.0,1.0,80.0,1.05,1.0,6.0,19.0,1.0,2.083333333333333,6.0,1.0,0.0,0.0,0.0,0.1666666666666666,1.0,0.0
AbstractStorageFormatDescriptor.java,4.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,2.43,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractTestAuthorizationApiAuthorizer.java,9.0,0.0,1.0,1.0,1.0,1.9,6.1,0.2,11.0,0.0,1.0,6.0,1.0,8.8,0.23,0.0,1.8571428571428568,17.0,0.0,1.809523809523809,10.0,0.0,0.0,0.0,0.0,0.1428571428571428,2.0,0.0
AbstractTestGenericUDFOPNumeric.java,12.0,1.0,2.0,1.0,1.0,1.0,12.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.67,12.0,12.0,12.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractTestParquetDirect.java,7.0,0.0,0.0,1.0,1.0,1.0,19.5,1.5,3.0,0.0,1.0,3.0,1.5,66.5,0.15,0.0,9.461538461538462,23.0,0.0,2.8461538461538463,8.0,0.0,0.0,0.0,0.0,0.2307692307692307,2.0,0.0
AbstractTestPhase.java,10.0,0.0,0.0,1.0,1.0,1.0,27.0,6.0,1.0,2.0,1.0,2.0,1.0,72.0,0.17,2.0,10.5,24.0,2.0,9.0,31.0,1.0,0.0,0.0,0.0,0.1666666666666666,1.0,0.0
AbstractVectorDesc.java,3.0,0.0,0.0,1.0,1.0,2.0,3.0,13.0,1.0,0.0,0.0,1.0,1.0,33.0,1.13,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AccumuloCompositeRowId.java,13.0,3.0,3.0,1.0,1.0,1.0,9.0,0.5,1.0,0.0,0.0,2.0,4.5,25.0,1.5,1.0,4.0,6.0,5.0,7.333333333333333,9.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
